Idioma,Únicas,Duplicadas,Total de Denúncias,Mês,Mês Número,Ano
swedish,0.0,0.0,0,Junho,6,2008
russian,19.0,23.0,42,Junho,6,2008
german,2.0,0.0,2,Junho,6,2008
spanish,9.0,1.0,10,Junho,6,2008
dutch,0.0,0.0,0,Junho,6,2008
pinyin,0.0,0.0,0,Junho,6,2008
english,425.0,338.0,763,Junho,6,2008
portuguese,176.0,235.0,411,Julho,7,2008
french,16.0,37.0,53,Julho,7,2008
farsi,1.0,0.0,1,Julho,7,2008
swedish,0.0,0.0,0,Julho,7,2008
russian,25.0,78.0,103,Julho,7,2008
german,1.0,19.0,20,Julho,7,2008
spanish,7.0,5.0,12,Julho,7,2008
dutch,2.0,17.0,19,Julho,7,2008
pinyin,0.0,0.0,0,Julho,7,2008
english,418.0,1107.0,1525,Julho,7,2008
portuguese,131.0,207.0,338,Agosto,8,2008
french,12.0,84.0,96,Agosto,8,2008
farsi,0.0,0.0,0,Agosto,8,2008
swedish,0.0,0.0,0,Agosto,8,2008
russian,17.0,53.0,70,Agosto,8,2008
german,2.0,1.0,3,Agosto,8,2008
spanish,4.0,28.0,32,Agosto,8,2008
dutch,1.0,43.0,44,Agosto,8,2008
pinyin,0.0,0.0,0,Agosto,8,2008
english,251.0,1506.0,1757,Agosto,8,2008
portuguese,129.0,212.0,341,Setembro,9,2008
french,13.0,18.0,31,Setembro,9,2008
farsi,0.0,0.0,0,Setembro,9,2008
swedish,0.0,0.0,0,Setembro,9,2008
russian,23.0,43.0,66,Setembro,9,2008
german,2.0,13.0,15,Setembro,9,2008
spanish,12.0,14.0,26,Setembro,9,2008
dutch,2.0,34.0,36,Setembro,9,2008
pinyin,0.0,0.0,0,Setembro,9,2008
english,313.0,1036.0,1349,Setembro,9,2008
portuguese,206.0,183.0,389,Outubro,10,2008
french,31.0,49.0,80,Outubro,10,2008
farsi,0.0,0.0,0,Outubro,10,2008
swedish,0.0,0.0,0,Outubro,10,2008
russian,16.0,28.0,44,Outubro,10,2008
german,4.0,1.0,5,Outubro,10,2008
spanish,15.0,24.0,39,Outubro,10,2008
dutch,6.0,19.0,25,Outubro,10,2008
pinyin,0.0,0.0,0,Outubro,10,2008
english,454.0,969.0,1423,Outubro,10,2008
portuguese,205.0,226.0,431,Novembro,11,2008
french,18.0,21.0,39,Novembro,11,2008
farsi,0.0,0.0,0,Novembro,11,2008
swedish,0.0,0.0,0,Novembro,11,2008
russian,20.0,56.0,76,Novembro,11,2008
german,4.0,0.0,4,Novembro,11,2008
spanish,12.0,25.0,37,Novembro,11,2008
dutch,1.0,6.0,7,Novembro,11,2008
pinyin,0.0,0.0,0,Novembro,11,2008
english,476.0,731.0,1207,Novembro,11,2008
portuguese,194.0,170.0,364,Dezembro,12,2008
french,25.0,11.0,36,Dezembro,12,2008
farsi,1.0,0.0,1,Dezembro,12,2008
swedish,1.0,0.0,1,Dezembro,12,2008
russian,17.0,40.0,57,Dezembro,12,2008
german,2.0,0.0,2,Dezembro,12,2008
spanish,7.0,9.0,16,Dezembro,12,2008
dutch,3.0,14.0,17,Dezembro,12,2008
pinyin,0.0,0.0,0,Dezembro,12,2008
english,425.0,716.0,1141,Dezembro,12,2008
portuguese,170.0,119.0,289,Janeiro,1,2009
french,16.0,24.0,40,Janeiro,1,2009
farsi,0.0,0.0,0,Janeiro,1,2009
swedish,0.0,0.0,0,Janeiro,1,2009
russian,18.0,27.0,45,Janeiro,1,2009
german,2.0,0.0,2,Janeiro,1,2009
spanish,16.0,13.0,29,Janeiro,1,2009
dutch,2.0,0.0,2,Janeiro,1,2009
pinyin,0.0,0.0,0,Janeiro,1,2009
english,357.0,576.0,933,Janeiro,1,2009
portuguese,217.0,138.0,355,Fevereiro,2,2009
french,24.0,17.0,41,Fevereiro,2,2009
farsi,0.0,1.0,1,Fevereiro,2,2009
swedish,0.0,0.0,0,Fevereiro,2,2009
russian,29.0,50.0,79,Fevereiro,2,2009
german,5.0,1.0,6,Fevereiro,2,2009
spanish,17.0,14.0,31,Fevereiro,2,2009
dutch,1.0,1.0,2,Fevereiro,2,2009
pinyin,0.0,0.0,0,Fevereiro,2,2009
english,499.0,929.0,1428,Fevereiro,2,2009
portuguese,266.0,208.0,474,Março,3,2009
french,42.0,40.0,82,Março,3,2009
farsi,0.0,14.0,14,Março,3,2009
swedish,0.0,0.0,0,Março,3,2009
russian,28.0,61.0,89,Março,3,2009
german,9.0,7.0,16,Março,3,2009
spanish,13.0,15.0,28,Março,3,2009
dutch,3.0,1.0,4,Março,3,2009
pinyin,0.0,0.0,0,Março,3,2009
english,513.0,939.0,1452,Março,3,2009
portuguese,244.0,145.0,389,Abril,4,2009
