Domínio,Únicas,Duplicadas,Total de Denúncias,Mês,Mês Número,Ano
lo-reality.cn,11.0,0.0,11,Setembro,9,2008
orkut.com,153.0,9913.0,10066,Setembro,9,2008
uol.com.br,70.0,6.0,76,Setembro,9,2008
sofuckingfunny.com,31.0,6.0,37,Setembro,9,2008
greatestsites.biz,11.0,0.0,11,Setembro,9,2008
orkut.com.br,6029.0,36858.0,42887,Setembro,9,2008
imgsrc.ru,11.0,3.0,14,Setembro,9,2008
youtube.com,64.0,4.0,68,Outubro,10,2008
dreamwiz.com,16.0,15.0,31,Outubro,10,2008
yahoo.com,10.0,0.0,10,Outubro,10,2008
orkut.com,514.0,8348.0,8862,Outubro,10,2008
uol.com.br,128.0,15.0,143,Outubro,10,2008
bian.in,43.0,9.0,52,Outubro,10,2008
badongo.com,20.0,0.0,20,Outubro,10,2008
orkut.com.br,6465.0,27965.0,34430,Outubro,10,2008
redtube.com,11.0,2.0,13,Outubro,10,2008
naturistfreedom.com,9.0,18.0,27,Novembro,11,2008
youtube.com,43.0,16.0,59,Novembro,11,2008
carlpotterfoll.cn,16.0,4.0,20,Novembro,11,2008
orkut.com,272.0,7708.0,7980,Novembro,11,2008
uol.com.br,118.0,18.0,136,Novembro,11,2008
orkut.com.br,6067.0,26431.0,32498,Novembro,11,2008
nqsix.com,7.0,4.0,11,Novembro,11,2008
lolpix.cn,9.0,0.0,9,Novembro,11,2008
tremworldspicturey.blogspot.com,37.0,8985.0,9022,Novembro,11,2008
xvideos.com,11.0,1.0,12,Dezembro,12,2008
youtube.com,12.0,1.0,13,Dezembro,12,2008
imageshack.us,14.0,0.0,14,Dezembro,12,2008
yahoo.com,8.0,1.0,9,Dezembro,12,2008
4shared.com,32.0,11.0,43,Dezembro,12,2008
orkut.com,321.0,5384.0,5705,Dezembro,12,2008
uol.com.br,116.0,18.0,134,Dezembro,12,2008
orkut.com.br,4838.0,19209.0,24047,Dezembro,12,2008
imagefap.com,10.0,1.0,11,Dezembro,12,2008
winterarea.net,6.0,0.0,6,Janeiro,1,2009
youtube.com,15.0,21.0,36,Janeiro,1,2009
imageshack.us,8.0,0.0,8,Janeiro,1,2009
sapo.pt,7.0,2.0,9,Janeiro,1,2009
4shared.com,6.0,4.0,10,Janeiro,1,2009
orkut.com,381.0,4948.0,5329,Janeiro,1,2009
uol.com.br,132.0,18.0,150,Janeiro,1,2009
orkut.com.br,4965.0,19755.0,24720,Janeiro,1,2009
imagebam.com,7.0,15.0,22,Janeiro,1,2009
orkut.cobr,17.0,0.0,17,Fevereiro,2,2009
c.br,15.0,0.0,15,Fevereiro,2,2009
co.br,1605.0,1475.0,3080,Fevereiro,2,2009
youtube.com,51.0,2.0,53,Fevereiro,2,2009
orkut.br,27.0,0.0,27,Fevereiro,2,2009
orkut.com,842.0,6331.0,7173,Fevereiro,2,2009
uol.com.br,120.0,25.0,145,Fevereiro,2,2009
orkut.com.br,4958.0,19886.0,24844,Fevereiro,2,2009
orkut.co,445.0,281.0,726,Fevereiro,2,2009
orku.com.br,13.0,1.0,14,Março,3,2009
co.br,377.0,328.0,705,Março,3,2009
youtube.com,85.0,9.0,94,Março,3,2009
m.br,13.0,3.0,16,Março,3,2009
4shared.com,45.0,25.0,70,Março,3,2009
orkut.com,612.0,7087.0,7699,Março,3,2009
uol.com.br,93.0,18.0,111,Março,3,2009
orkut.com.br,6421.0,30227.0,36648,Março,3,2009
orkut.co,81.0,45.0,126,Março,3,2009
orku.com.br,14.0,0.0,14,Abril,4,2009
youtube.com,63.0,4.0,67,Abril,4,2009
100nonude.com,9.0,6.0,15,Abril,4,2009
4shared.com,36.0,4.0,40,Abril,4,2009
orkut.com,624.0,6120.0,6744,Abril,4,2009
uol.com.br,102.0,17.0,119,Abril,4,2009
orkut.com.br,5569.0,32837.0,38406,Abril,4,2009
wordpress.com,13.0,7.0,20,Abril,4,2009
world-collections.com,10.0,3.0,13,Abril,4,2009
orku.com.br,25.0,0.0,25,Maio,5,2009
youtube.com,88.0,4.0,92,Maio,5,2009
4shared.com,35.0,8.0,43,Maio,5,2009
orkut.com,322.0,5345.0,5667,Maio,5,2009
uol.com.br,108.0,15.0,123,Maio,5,2009
orkut.com.br,5699.0,40263.0,45962,Maio,5,2009
imagebam.com,18.0,10.0,28,Maio,5,2009
wordpress.com,13.0,5.0,18,Maio,5,2009
vilabol.com.br,16.0,0.0,16,Maio,5,2009
xvideos.com,12.0,3.0,15,Junho,6,2009
youtube.com,49.0,17.0,66,Junho,6,2009
yahoo.com,29.0,7.0,36,Junho,6,2009
4shared.com,12.0,8.0,20,Junho,6,2009
orkut.com,294.0,5781.0,6075,Junho,6,2009
uol.com.br,106.0,14.0,120,Junho,6,2009
orkut.com.br,4961.0,35940.0,40901,Junho,6,2009
wordpress.com,23.0,71.0,94,Junho,6,2009
lolpix.cn,8.0,4.0,12,Junho,6,2009
youtube.com,84.0,89.0,173,Julho,7,2009
yahoo.com,27.0,0.0,27,Julho,7,2009
4shared.com,23.0,33.0,56,Julho,7,2009
orkut.com,271.0,3999.0,4270,Julho,7,2009
uol.com.br,136.0,137.0,273,Julho,7,2009
orkut.com.br,5421.0,35139.0,40560,Julho,7,2009
wordpress.com,15.0,6.0,21,Julho,7,2009
50webs.com,14.0,2.0,16,Julho,7,2009
imgsrc.ru,14.0,6.0,20,Julho,7,2009
youtube.com,81.0,15.0,96,Agosto,8,2009
yahoo.com,12.0,0.0,12,Agosto,8,2009
4shared.com,19.0,0.0,19,Agosto,8,2009
orkut.com,906.0,4641.0,5547,Agosto,8,2009
uol.com.br,119.0,35.0,154,Agosto,8,2009
twitter.com,10.0,24.0,34,Agosto,8,2009
orkut.com.br,4924.0,28267.0,33191,Agosto,8,2009
wordpress.com,13.0,2.0,15,Agosto,8,2009
50webs.com,21.0,2.0,23,Agosto,8,2009
youtube.com,88.0,14.0,102,Setembro,9,2009
imageboard4free.com,15.0,0.0,15,Setembro,9,2009
4shared.com,17.0,34.0,51,Setembro,9,2009
orkut.com,697.0,2866.0,3563,Setembro,9,2009
uol.com.br,101.0,32.0,133,Setembro,9,2009
orkut.com.br,5265.0,28907.0,34172,Setembro,9,2009
wordpress.com,16.0,5.0,21,Setembro,9,2009
50webs.com,26.0,4.0,30,Setembro,9,2009
cyanidesuicide.com,20.0,0.0,20,Setembro,9,2009
youtube.com,105.0,101.0,206,Outubro,10,2009
bestzona.ru,20.0,0.0,20,Outubro,10,2009
radikal.ru,30.0,0.0,30,Outubro,10,2009
orkut.co.in,28.0,0.0,28,Outubro,10,2009
yahoo.com,14.0,11.0,25,Outubro,10,2009
orkut.com,593.0,3707.0,4300,Outubro,10,2009
uol.com.br,113.0,32.0,145,Outubro,10,2009
orkut.com.br,4179.0,29455.0,33634,Outubro,10,2009
wordpress.com,17.0,2.0,19,Outubro,10,2009
youtube.com,78.0,62.0,140,Novembro,11,2009
brownallbe45.com,33.0,2.0,35,Novembro,11,2009
tokario.com,27.0,0.0,27,Novembro,11,2009
co.cc,20.0,12.0,32,Novembro,11,2009
orkut.com,216.0,2368.0,2584,Novembro,11,2009
uol.com.br,128.0,27.0,155,Novembro,11,2009
orkut.com.br,4366.0,24534.0,28900,Novembro,11,2009
lollysweet.cn,34.0,7.0,41,Novembro,11,2009
wordpress.com,30.0,22.0,52,Novembro,11,2009
youtube.com,79.0,18.0,97,Dezembro,12,2009
brownallbe45.com,26.0,0.0,26,Dezembro,12,2009
yahoo.com,22.0,0.0,22,Dezembro,12,2009
4shared.com,25.0,4.0,29,Dezembro,12,2009
uol.com.br,142.0,28.0,170,Dezembro,12,2009
orkut.com,105.0,2096.0,2201,Dezembro,12,2009
orkut.com.br,3493.0,20993.0,24486,Dezembro,12,2009
lollysweet.cn,16.0,0.0,16,Dezembro,12,2009
wordpress.com,29.0,53.0,82,Dezembro,12,2009
youtube.com,63.0,18.0,81,Janeiro,1,2010
brownallbe45.com,21.0,2.0,23,Janeiro,1,2010
