Período,Domínio,Únicas,Duplicadas,Total
01/05/2008 a 31/05/2008,google.com,17,2,19
01/05/2008 a 31/05/2008,orkut.com,6407,46927,53334
01/05/2008 a 31/05/2008,uol.com.br,31,16,47
01/05/2008 a 31/05/2008,orkut.com.br,722,674,1396
01/05/2008 a 31/05/2008,vipzax.com,13,5,18
01/05/2008 a 31/05/2008,imgsrc.ru,19,5,24
,,,,
01/06/2008 a 30/06/2008,youtube.com,43,13,56
01/06/2008 a 30/06/2008,yahoo.com,13,0,13
01/06/2008 a 30/06/2008,rapidshare.com,7,10,17
01/06/2008 a 30/06/2008,uploadqueen.com,21,1,22
01/06/2008 a 30/06/2008,orkut.com,3649,35464,39113
01/06/2008 a 30/06/2008,uol.com.br,68,15,83
01/06/2008 a 30/06/2008,belezaadolescente.blogspot.com,7,31,38
01/06/2008 a 30/06/2008,orkut.com.br,5932,23503,29435
01/06/2008 a 30/06/2008,ucoz.ru,10,0,10
01/06/2008 a 30/06/2008,vipzax.com,9,29,38
,,,,
01/07/2008 a 31/07/2008,youtube.com,64,18,82
01/07/2008 a 31/07/2008,orkut.com,831,23201,24032
01/07/2008 a 31/07/2008,uol.com.br,113,20,133
01/07/2008 a 31/07/2008,orkut.com.br,8433,38855,47288
01/07/2008 a 31/07/2008,yourfilehost.com,9,0,9
01/07/2008 a 31/07/2008,vipzax.com,11,1,12
01/07/2008 a 31/07/2008,gostosastube.com.br,25,7,32
01/07/2008 a 31/07/2008,imagefap.com,8,0,8
01/07/2008 a 31/07/2008,imgsrc.ru,14,1,15
,,,,
01/08/2008 a 31/08/2008,youtube.com,11,4,15
01/08/2008 a 31/08/2008,imageshack.us,5,3,8
01/08/2008 a 31/08/2008,sexpornhost.com,8,3,11
01/08/2008 a 31/08/2008,clickgratis.com.br,6,0,6
01/08/2008 a 31/08/2008,orkut.com,184,13218,13402
01/08/2008 a 31/08/2008,uol.com.br,85,16,101
01/08/2008 a 31/08/2008,badongo.com,7,0,7
01/08/2008 a 31/08/2008,sofuckingfunny.com,6,0,6
01/08/2008 a 31/08/2008,orkut.com.br,6437,36474,42911
01/08/2008 a 31/08/2008,imgsrc.ru,12,3,15
,,,,
01/09/2008 a 30/09/2008,youtube.com,31,4,35
01/09/2008 a 30/09/2008,sexypix.biz,8,0,8
01/09/2008 a 30/09/2008,viplox.com,17,1,18
01/09/2008 a 30/09/2008,lo-reality.cn,11,0,11
01/09/2008 a 30/09/2008,orkut.com,153,9913,10066
01/09/2008 a 30/09/2008,uol.com.br,70,6,76
01/09/2008 a 30/09/2008,sofuckingfunny.com,31,6,37
01/09/2008 a 30/09/2008,greatestsites.biz,11,0,11
01/09/2008 a 30/09/2008,orkut.com.br,6029,36858,42887
01/09/2008 a 30/09/2008,imgsrc.ru,11,3,14
,,,,
01/10/2008 a 31/10/2008,youtube.com,64,4,68
01/10/2008 a 31/10/2008,dreamwiz.com,16,15,31
01/10/2008 a 31/10/2008,yahoo.com,10,0,10
01/10/2008 a 31/10/2008,orkut.com,514,8348,8862
01/10/2008 a 31/10/2008,uol.com.br,128,15,143
01/10/2008 a 31/10/2008,bian.in,43,9,52
01/10/2008 a 31/10/2008,badongo.com,20,0,20
01/10/2008 a 31/10/2008,orkut.com.br,6465,27965,34430
01/10/2008 a 31/10/2008,redtube.com,11,2,13
,,,,
01/11/2008 a 30/11/2008,naturistfreedom.com,9,18,27
01/11/2008 a 30/11/2008,youtube.com,43,16,59
01/11/2008 a 30/11/2008,carlpotterfoll.cn,16,4,20
01/11/2008 a 30/11/2008,orkut.com,272,7708,7980
01/11/2008 a 30/11/2008,uol.com.br,118,18,136
01/11/2008 a 30/11/2008,orkut.com.br,6067,26431,32498
01/11/2008 a 30/11/2008,nqsix.com,7,4,11
01/11/2008 a 30/11/2008,lolpix.cn,9,0,9
01/11/2008 a 30/11/2008,tremworldspicturey.blogspot.com,37,8985,9022
,,,,
01/12/2008 a 31/12/2008,xvideos.com,11,1,12
01/12/2008 a 31/12/2008,youtube.com,12,1,13
01/12/2008 a 31/12/2008,imageshack.us,14,0,14
01/12/2008 a 31/12/2008,yahoo.com,8,1,9
01/12/2008 a 31/12/2008,4shared.com,32,11,43
01/12/2008 a 31/12/2008,orkut.com,321,5384,5705
01/12/2008 a 31/12/2008,uol.com.br,116,18,134
01/12/2008 a 31/12/2008,orkut.com.br,4838,19209,24047
01/12/2008 a 31/12/2008,imagefap.com,10,1,11
,,,,
01/01/2009 a 31/01/2009,winterarea.net,6,0,6
01/01/2009 a 31/01/2009,youtube.com,15,21,36
01/01/2009 a 31/01/2009,imageshack.us,8,0,8
01/01/2009 a 31/01/2009,sapo.pt,7,2,9
01/01/2009 a 31/01/2009,4shared.com,6,4,10
01/01/2009 a 31/01/2009,orkut.com,381,4948,5329
01/01/2009 a 31/01/2009,uol.com.br,132,18,150
01/01/2009 a 31/01/2009,orkut.com.br,4965,19755,24720
01/01/2009 a 31/01/2009,imagebam.com,7,15,22
,,,,
01/02/2009 a 28/02/2009,orkut.cobr,17,0,17
01/02/2009 a 28/02/2009,c.br,15,0,15
01/02/2009 a 28/02/2009,co.br,1605,1475,3080
01/02/2009 a 28/02/2009,youtube.com,51,2,53
01/02/2009 a 28/02/2009,orkut.br,27,0,27
01/02/2009 a 28/02/2009,orkut.com,842,6331,7173
01/02/2009 a 28/02/2009,uol.com.br,120,25,145
01/02/2009 a 28/02/2009,orkut.com.br,4958,19886,24844
01/02/2009 a 28/02/2009,orkut.co,445,281,726
,,,,
01/03/2009 a 31/03/2009,orku.com.br,13,1,14
01/03/2009 a 31/03/2009,co.br,377,328,705
01/03/2009 a 31/03/2009,youtube.com,85,9,94
01/03/2009 a 31/03/2009,m.br,13,3,16
01/03/2009 a 31/03/2009,4shared.com,45,25,70
01/03/2009 a 31/03/2009,orkut.com,612,7087,7699
01/03/2009 a 31/03/2009,uol.com.br,93,18,111
01/03/2009 a 31/03/2009,orkut.com.br,6421,30227,36648
01/03/2009 a 31/03/2009,orkut.co,81,45,126
,,,,
01/04/2009 a 30/04/2009,orku.com.br,14,0,14
01/04/2009 a 30/04/2009,youtube.com,63,4,67
01/04/2009 a 30/04/2009,100nonude.com,9,6,15
01/04/2009 a 30/04/2009,4shared.com,36,4,40
01/04/2009 a 30/04/2009,orkut.com,624,6120,6744
01/04/2009 a 30/04/2009,uol.com.br,102,17,119
01/04/2009 a 30/04/2009,orkut.com.br,5569,32837,38406
01/04/2009 a 30/04/2009,wordpress.com,13,7,20
01/04/2009 a 30/04/2009,world-collections.com,10,3,13
,,,,
01/05/2009 a 31/05/2009,orku.com.br,25,0,25
01/05/2009 a 31/05/2009,youtube.com,88,4,92
01/05/2009 a 31/05/2009,4shared.com,35,8,43
01/05/2009 a 31/05/2009,orkut.com,322,5345,5667
01/05/2009 a 31/05/2009,uol.com.br,108,15,123
01/05/2009 a 31/05/2009,orkut.com.br,5699,40263,45962
01/05/2009 a 31/05/2009,imagebam.com,18,10,28
01/05/2009 a 31/05/2009,wordpress.com,13,5,18
01/05/2009 a 31/05/2009,vilabol.com.br,16,0,16
,,,,
01/06/2009 a 30/06/2009,xvideos.com,12,3,15
01/06/2009 a 30/06/2009,youtube.com,49,17,66
01/06/2009 a 30/06/2009,yahoo.com,29,7,36
01/06/2009 a 30/06/2009,4shared.com,12,8,20
01/06/2009 a 30/06/2009,orkut.com,294,5781,6075
01/06/2009 a 30/06/2009,uol.com.br,106,14,120
01/06/2009 a 30/06/2009,orkut.com.br,4961,35940,40901
01/06/2009 a 30/06/2009,wordpress.com,23,71,94
01/06/2009 a 30/06/2009,lolpix.cn,8,4,12
,,,,
01/07/2009 a 31/07/2009,youtube.com,84,89,173
01/07/2009 a 31/07/2009,yahoo.com,27,0,27
01/07/2009 a 31/07/2009,4shared.com,23,33,56
01/07/2009 a 31/07/2009,orkut.com,271,3999,4270
01/07/2009 a 31/07/2009,uol.com.br,136,137,273
01/07/2009 a 31/07/2009,orkut.com.br,5421,35139,40560
01/07/2009 a 31/07/2009,wordpress.com,15,6,21
01/07/2009 a 31/07/2009,50webs.com,14,2,16
01/07/2009 a 31/07/2009,imgsrc.ru,14,6,20
,,,,
01/08/2009 a 31/08/2009,youtube.com,81,15,96
01/08/2009 a 31/08/2009,yahoo.com,12,0,12
01/08/2009 a 31/08/2009,4shared.com,19,0,19
01/08/2009 a 31/08/2009,orkut.com,906,4641,5547
01/08/2009 a 31/08/2009,uol.com.br,119,35,154
01/08/2009 a 31/08/2009,twitter.com,10,24,34
01/08/2009 a 31/08/2009,orkut.com.br,4924,28267,33191
01/08/2009 a 31/08/2009,wordpress.com,13,2,15
01/08/2009 a 31/08/2009,50webs.com,21,2,23
,,,,
01/09/2009 a 30/09/2009,youtube.com,88,14,102
01/09/2009 a 30/09/2009,imageboard4free.com,15,0,15
01/09/2009 a 30/09/2009,4shared.com,17,34,51
01/09/2009 a 30/09/2009,orkut.com,697,2866,3563
01/09/2009 a 30/09/2009,uol.com.br,101,32,133
01/09/2009 a 30/09/2009,orkut.com.br,5265,28907,34172
01/09/2009 a 30/09/2009,wordpress.com,16,5,21
01/09/2009 a 30/09/2009,50webs.com,26,4,30
01/09/2009 a 30/09/2009,cyanidesuicide.com,20,0,20
,,,,
01/10/2009 a 31/10/2009,youtube.com,105,101,206
01/10/2009 a 31/10/2009,bestzona.ru,20,0,20
01/10/2009 a 31/10/2009,radikal.ru,30,0,30
01/10/2009 a 31/10/2009,orkut.co.in,28,0,28
01/10/2009 a 31/10/2009,yahoo.com,14,11,25
01/10/2009 a 31/10/2009,orkut.com,593,3707,4300
01/10/2009 a 31/10/2009,uol.com.br,113,32,145
01/10/2009 a 31/10/2009,orkut.com.br,4179,29455,33634
01/10/2009 a 31/10/2009,wordpress.com,17,2,19
,,,,
01/11/2009 a 30/11/2009,youtube.com,78,62,140
01/11/2009 a 30/11/2009,brownallbe45.com,33,2,35
01/11/2009 a 30/11/2009,tokario.com,27,0,27
01/11/2009 a 30/11/2009,co.cc,20,12,32
01/11/2009 a 30/11/2009,orkut.com,216,2368,2584
